access	[ˈækˌsɛs]	v. 获取 n. 接近，入口
complex	[ˈkɑmplɛks]	 adj. 由许多部分组成的， 复合的； 复杂的， 难懂的
rank	[ræŋk]	 v. 给…评定等级； 列入， 占特定等级 n. 军衔，职衔；地位，社会阶层；排，行列
assumption	[əˈsəmpʃən]	 n. 假定， 臆断； 担任， 承担
pension	[ˈpɛnʃən]	 n. 养老金，抚恤金 vt. 发给…养老金
giant	[ʤaɪənt]	 adj. 巨大的 n. 巨人，巨物；才智超群的人
fluid	[fluɪd]	 adj. 流动的 n. 流体，液体
bay	[beɪ]	 n. 湾； 分隔间
outlet	[ˈaʊˌtlɛt]	 n. 出口， 出路； 发泄途径
neglect	[nɪˈglɛkt]	 v. 疏于照料；疏忽 n. 疏忽
addition	[əˈdɪʃən]	 n. 加， 加法； 附加物
gang	[gæŋ]	 vi. 聚集， 结成一伙 n. 一帮，一伙
shrink	[ʃrɪŋk]	 v. 起皱； 收缩； 退缩， 畏缩
ancestor	[ˈænˌsɛstər]	 n. 祖宗， 祖先； 原型； 先驱
textile	[ˈtɛkˌstaɪl]	 adj. 纺织的 n. 纺织品；纺织业
former	[ˈfɔrmər]	 adj. 在前的 n. 前者
panic	[ˈpænɪk]	 v. 恐慌， 惊慌失措 n. 恐慌，惊慌，慌乱
extend	[ɪkˈstɛnd]	 v. 延长， 扩大； 提供， 给予； 伸展， 达到
fold	[foʊld]	 v. 折叠，合拢 n. 褶， 折叠的部分
plastic	[ˈplæstɪk]	 adj. 塑料的；可塑的 n. 塑料， 塑料制品； 信用卡
globe	[gloʊb]	 n. 地球， 世界； 地球仪； 球体
chemical	[ˈkɛmɪkəl]	 adj. 化学的 n. 化学制品
interpretation	[ˌɪnˌtərprɪˈteɪʃən]	 n. 解释； 口译； 艺术处理
ax	[æks]	 n. 斧子
intermediate	[ˌɪnərˈmidiɪt]	 adj. 中间的； 中级的
folk	[foʊk]	 n. 人们； 家属， 亲属； 大伙儿， 各位
consideration	[kənˌsɪdərˈeɪʃən]	 n. 考虑， 思考， 要考虑的事； 体贴， 关心
competitive	[kəmˈpɛtɪtɪv]	 adj. 竞争的， 比赛的； 好竞争的， 求胜心切的； 有竞争力的
enquiry	[ɪnkˈwaɪˌri]	 n. 询问
applause	[əˈplɔz]	 n. 鼓掌， 掌声
frank	[fræŋk]	 adj. 坦白的， 直率的
abuse	[əˈbjuz]	 vt. 滥用； 虐待， 伤害； 辱骂， 毁谤 n. 滥用； 虐待， 伤害； 辱骂， 毁谤
prove	[pruv]	 v. 证实， 证明； 结果是
scheme	[skim]	 v. 密谋， 策划 n. 计划，方案；阴谋
affect	[əˈfɛkt]	 vt. 影响； 感动
deaf	[dɛf]	 adj. 聋的； 不愿听的
admire	[ædˈmaɪr]	 vt. 钦佩， 羡慕； 赞赏， 称赞， 夸奖
consequently	[ˈkɑnsəkˌwɛntli]	 adv. 因此， 因而， 所以
virus	[ˈvaɪrəs]	 n. 病毒； 病毒性疾病， 病毒病
drain	[dreɪn]	 v. 排去，放水 n. 耗竭； 排水沟， 排水管
isolate	[ˈaɪsəˌleɪt]	 vt. 使隔离， 使孤立
sailor	[ˈseɪlər]	 n. 水手， 海员
amuse	[əmˈjuz]	 vt. 逗…乐， 给…娱乐
inward	[ˈɪnwərd]	 adv. 向内 adj. 里面的；内心的
responsibility	[riˌspɑnsəˈbɪləti]	 n. 责任， 责任心； 职责， 义务
enquire	[ɪnkˈwaɪər]	 v. 询问
civil	[ˈsɪvəl]	 adj. 公民的； 文职的； 民用的； 民事的， 民法的； 文明的
popularity	[ˌpɑpjəˈlɛrəti]	 n. 普及， 流行； 声望
subsequent	[ˈsəbsəkwənt]	 adj. 随后的， 后来的
indicate	[ˈɪndəˌkeɪt]	 vt. 标示， 表示， 表明
scarcely	[ˈskɛrsli]	 adv. 几乎不， 简直不； 决不； 刚刚， 才
panel	[ˈpænəl]	 n. 专门小组； 面， 板； 控制板， 仪表盘
outstanding	[ˌaʊtˈstændɪŋ]	 adj. 突出的， 杰出的； 未解决的； 未偿付的
charge	[ʧɑrʤ]	 v. 索价；控告；充电，充满；向前冲 n. 费用； 管理； 控告， 指责； 电荷， 充电
sew	[soʊ]	 v. 缝制， 缝纫
oval	[ˈoʊvəl]	 adj. 椭圆形的 n. 椭圆形
column	[ˈkɑləm]	 n. 柱， 支柱， 圆柱； 纵队； 栏， 专栏
procedure	[prəˈsiʤər]	 n. 程序， 手续， 步骤
sample	[ˈsæmpəl]	 n. 样品，试样，样本 vt. 从…抽样； 品尝， 体验
integrate	[ˈɪnəˌgreɪt]	 v. 成为一体， 合并
survivor	[sərˈvaɪvər]	 n. 生还者； 残存物
applicant	[ˈæplɪkənt]	 n. 申请人
tropical	[ˈtrɑpɪkəl]	 adj. 热带的； 炎热的
partner	[ˈpɑrtnər]	 vi. 做…的搭档 n. 伙伴，合伙人，搭档，配偶
plunge	[plənʤ]	 n&v. 纵身投入， 猛冲； 猛跌
diagnose	[ˌdaɪəgˈnoʊs]	 vt. 诊断
somewhat	[ˈsəmˈwət]	 adv. 有点儿 pron. 一点儿
earnest	[ˈərnɪst]	 adj. 认真的， 诚恳的
spider	[ˈspaɪdər]	 n. 蜘蛛
interview	[ˈɪntərvˌju]	 n&vt. 接见， 会见； 面谈， 面试； 采访
essential	[ɛˈsɛnʃəl]	 adj. 必要的；本质的 n. 要素； 必需品
clarify	[ˈklɛrəˌfaɪ]	 vt. 澄清， 阐明
furnace	[ˈfərnəs]	 n. 炉子， 熔炉， 鼓风炉
ditch	[dɪʧ]	 n. 沟， 沟渠， 渠道
deck	[dɛk]	 n. 甲板， 舱面； 层面
scare	[skɛr]	 v. 吓， 使害怕； 受惊吓， 感到害怕 n. 惊恐，恐慌
thunder	[ˈθəndər]	 vi. 打雷， 轰隆响； 大声喊， 吼 n. 雷，雷声；擂鼓般的响声，轰隆声
observe	[əbˈzərv]	 vt. 注意到， 观察； 评说； 遵守
humorous	[ˈhjumərəs]	 adj. 幽默的， 诙谐的
furnish	[ˈfərnɪʃ]	 vt. 供应， 提供； 装备
bet	[bɛt]	 vt. 打赌；敢说，确信 n. 打赌； 赌金， 赌注
contact	[ˈkɑnˌtækt]	 n. 接触；联系，交往 vt. 与…接触， 与…取得联系
rare	[rɛr]	 adj. 稀有的， 冷僻的； 珍奇的； 出类拔萃的； 稀薄的； 煎得嫩的
discharge	[ˈdɪsˌʧɑrʤ]	 v. 释放， 排出； 卸货 n. 释放， 放电
exclude	[ɪkˈsklud]	 vt. 把…排除在外
scary	[ˈskɛri]	 adj. 引起惊慌的
criticism	[ˈkrɪtɪˌsɪzəm]	 n. 批评， 批判； 评论， 评论文章
utmost	[ˈətˌmoʊst]	 adj. 最远的 n. 极限
image	[ˈɪmɪʤ]	 n. 像； 形象； 映像； 形象的描述
consultancy	[kənˈsəltənsi]	 n. 咨询公司
ribbon	[ˈrɪbən]	 n. 缎带， 丝带； 色带
garbage	[ˈgɑrbɪʤ]	 n. 垃圾， 废物； 废话； 无用的资料
complain	[kəmˈpleɪn]	 vi. 抱怨， 诉苦； 控告， 投诉
mainland	[ˈmeɪnˌlænd]	 n. 大陆
homogeneous	[ˌhoʊməˈʤiniəs]	 adj. 同种类的， 同性质的， 有相同特征的
anxiety	[æŋˈzaɪəti]	 n. 焦虑， 忧虑； 渴望， 热望
temptation	[tɛmˈteɪʃən]	 n. 诱惑， 引诱
adjust	[əˈʤəst]	 vt. 调整， 调节， 校正
popularize	[ˈpɑpjələrˌaɪz]	 vt. 普及
burst	[bərst]	 vi. 爆裂，爆炸；挤满；突然打开；突然发作 vt. 使爆炸；突然打开 n. 爆炸
vigorous	[ˈvɪgərəs]	 adj. 朝气蓬勃的； 有力的， 用力的
debt	[dɛt]	 n. 债， 债务， 欠债
refrigerator	[rɪˈfrɪʤərˌeɪtər]	 n. 冰箱， 冷藏库
necessity	[nəˈsɛsɪti]	 n. 必需品； 必要性， 需要
fog	[fɔg]	 n. 雾， 烟雾， 尘雾
frame	[freɪm]	 n. 框架，框子，构架 vt. 给…镶框； 陷害， 诬告； 制定； 表达
lucky	[ˈləki]	 adj. 幸运的， 侥幸的； 吉利的
origin	[ˈɔrəʤən]	 n. 起源， 起因； 出身， 血统
industrialize	[ˌɪnˈdəstriəˌlaɪz]	 v. 工业化
clash	[klæʃ]	 vi. 发生冲突；不协调；砰地相撞，发出刺耳的撞击声 n. 冲突； 不协调； 刺耳的撞击声
compel	[kəmˈpɛl]	 vt. 强迫， 迫使屈服
capable	[ˈkeɪpəbəl]	 adj. 有能力的， 有才能的
depress	[dɪˈprɛs]	 vt. 使沮丧； 使不景气； 削弱， 抑制
parade	[pəreɪd]	 v. 游行， 列队前进； 招摇而行 n. 游行；检阅
burden	[ˈbərdən]	 n. 重担，精神负担 vt. 加重压于， 烦扰； 负担， 装载
precaution	[priˈkɔʃən]	 n. 预防； 防备， 警惕
lemon	[ˈlɛmən]	 n. 柠檬； 柠檬树； 柠檬黄， 淡黄色
personality	[ˌpərsəˈnælɪti]	 n. 人格， 个性； 人物， 名人
plot	[plɑt]	 v. 密谋， 计划； 绘制…的平面图， 在图上标绘…的位置 n. 故事情节；计划，密谋；小块土地
sanction	[ˈsæŋkʃən]	 vt. 批准，认可 n. 批准， 认可； 约束因素， 约束力； 国际制裁
rate	[reɪt]	 vi. 被评价； 被列入特定级别 n. 速度，速率；比率；价格，费用；等级 vt. 评估；给…定级，把…列为；值得，应得
alert	[əˈlərt]	 adj. 警觉的，留神的，注意的 vt. 使认识到，使意识到 n. 警戒， 戒备； 警报
await	[əˈweɪt]	 vt. 等候； 期待； 将降临到…身上
sin	[sɪn]	 vi. 犯戒律， 犯过失 n. 罪，罪孽
client	[klaɪənt]	 n. 委托人， 当事人， 顾客
prosperity	[prɑˈspɛrəti]	 n. 繁荣， 兴旺
divide	[dɪˈvaɪd]	 v. 分，分开；分配，分享；除；产生分歧 n. 分歧； 分界线， 分水岭
contrary	[ˈkɑntrɛri]	 adj. 相反的 n. 相反
lump	[ləmp]	 v. 结块； 将…归并在一起 n. 块，肿块
digital	[ˈdɪʤɪtəl]	 adj. 数字的， 数位的
brilliant	[ˈbrɪljənt]	 adj. 光辉的； 卓越的
historic	[hɪˈstɔrɪk]	 adj. 历史上著名的， 具有重大历史意义的
oven	[ˈəvən]	 n. 炉， 烤箱
bound	[baʊnd]	 vi. 跳跃；弹回，反跃 adj. 一定的；有义务的 vt. 跳跃；弹回，反跃；成为…的界限，给…划界 n. 跳跃； 界限， 限制
counter	[ˈkaʊntər]	 n. 柜台； 计数器； 筹码
rhythm	[ˈrɪðəm]	 n. 韵律， 节奏
stroke	[stroʊk]	 n. 中风；一举，一次努力；划桨，划水；击，敲；报时的钟声；笔画，一笔；抚摸 vt. 抚摸
breed	[brid]	 v. 繁殖； 养育， 培育； 酿成， 产生 n. 品种
management	[ˈmænɪʤmənt]	 n. 管理； 处理； 管理部门； 管理人员
publish	[ˈpəblɪʃ]	 vt. 公布， 发表； 出版， 刊印
realm	[rɛlm]	 n. 界， 领域， 范围； 王国， 国度
correspondent	[ˌkɔrəˈspɑndənt]	 n. 通讯员， 记者
avoid	[əˈvɔɪd]	 vt. 避免， 躲开； 撤销
renew	[rɪˈnu]	 v. 重新开始， 继续； 更新； 恢复； 延长有效期
bid	[bɪd]	 n. 企图，努力；喊价，出价，投标 vt. 喊价， 投标， 出； 祝， 表示； 命令
prompt	[prɑmpt]	 adj. 敏捷的，及时的 vt. 促使，推动；提示 n. 提示台词， 提示
astonish	[əˈstɑnɪʃ]	 vt. 使惊讶， 使吃惊
comprehensive	[ˌkɑmpriˈhɛnsɪv]	 adj. 广泛的， 综合的； 理解的
tunnel	[ˈtənəl]	 v. 挖， 开 n. 隧道，坑道，地道
withdraw	[wɪθˈdrɔ]	 v. 收回， 撤回； 撤退
assign	[əˈsaɪn]	 vt. 指派， 分配， 布置； 指定
elaborate	[ɪˈlæbərˌeɪt]	 adj. 复杂的； 精心制作的 v. 详述， 详细制订
feather	[ˈfɛðər]	 n. 羽毛， 翎毛
corridor	[ˈkɔrɪdər]	 n. 走廊， 回廊， 通路
decade	[ˈdɛkeɪd]	 n. 十年， 十年期
expert	[ˈɛkspərt]	 adj. 熟练的 n. 专家
select	[səˈlɛkt]	 adj. 精选的， 挑选出来的； 优等的， 第一流的 vt. 选择，挑选
fulfill	[fʊlˈfɪl]	 vt. 履行， 实现， 完成； 满足， 使满意
crowd	[kraʊd]	 v. 聚集； 挤满； 挤； 推 n. 群，一批
congress	 n. 代表大会； [C-]国会， 议会
advanced	[ədˈvænst]	 adj. 先进的； 高级的； 年迈的； 后阶段的
mechanical	[məˈkænɪkəl]	 adj. 机械的， 机械制造的； 机械学的， 力学的； 呆板的
recommendation	[ˌrɛkəmənˈdeɪʃən]	 n. 推荐， 推荐信； 建议； 优点， 可取之处
welfare	[ˈwɛlˌfɛr]	 n. 幸福； 福利， 福利救济
flourish	[flərɪʃ]	 vi. 繁荣，茂盛，兴旺 vt. 挥动
output	[ˈaʊtˌpʊt]	 n. 产量；输出；输出功率 vt. 输出
fatigue	[fəˈtig]	 v. 疲劳 n. 疲劳，劳累
striking	[ˈstraɪkɪŋ]	 adj. 显著的， 突出的； 惹人注目的， 容貌出众的
vessel	[ˈvɛsəl]	 n. 容器； 船； 飞船； 管
majority	[məˈʤɔrəti]	 n. 多数， 大多数
drag	[dræg]	 v. 拖，拉；迫使，硬拉；拖着脚步走 n. 累赘； 一吸， 一抽
crown	[kraʊn]	 n. 王冠， 冕
likely	[ˈlaɪkli]	 adv. 可能 adj. 可能的；适合的
inquire	[ˌɪnkˈwaɪr]	 v. 打听， 询问； 调查
gymnasium	[ʤɪmˈneɪziəm]	 n. 体育馆， 健身房
issue	[ˈɪʃu]	 v. 发行， 分发， 发出 n. 问题；发行，分发
vain	[veɪn]	 adj. 徒劳的； 自负的
lower	[loʊər]	 adj. 较低的；下面的 vt. 放下， 降低
index	[ˈɪndɛks]	 n. 索引； 指数， 指标
fry	[fraɪ]	 vt. 油煎， 油炸， 油炒
youngster	[ˈjəŋstər]	 n. 青年， 年轻人， 孩子
odd	[ɑd]	 adj. 奇特的； 临时的； 奇数的； 单只的； 剩余的， 挂零的
lung	[ləŋ]	 n. 肺
conservation	[ˌkɑnsərˈveɪʃən]	 n. 保存； 保护； 守恒
distraction	[dɪˈstrækʃən]	 n. 分心的事； 心烦意乱； 精神错乱； 娱乐， 消遣
supplement	[ˌsəpləˈmɛnt]	 n. 增补， 补充； 增刊， 副刊 vt. 增补， 补充
contrast	[ˈkɑntræst]	 vi. 形成对比， 对比之下显出区别 n. 对比， 对照； 反差 vt. 对比，对照
paragraph	[ˈpɛrəˌgræf]	 n. 段， 节
judgement	[ˈʤəʤmənt]	 n. 意见； 审判； 判断
proportion	[prəˈpɔrʃən]	 n. 比例； 部分， 份儿； 均衡， 相称
widen	[ˈwaɪdən]	 v. 加宽， 变宽
crystal	[ˈkrɪstəl]	 n. 水晶， 结晶体， 晶粒
occurrence	[əˈkərəns]	 n. 发生， 出现； 发生的事件
inflation	[ˌɪnˈfleɪʃən]	 n. 通货膨胀； 膨胀
thinking	[ˈθɪŋkɪŋ]	 adj. 深思的， 有理性的 n. 想法，意见，见解
cycle	[ˈsaɪkəl]	 n. 循环（周期） v. 骑自行车
disposal	[dɪˈspoʊzəl]	 n. 丢掉， 销毁； 处理； 排列， 布置
settlement	[ˈsɛtəlmənt]	 n. 解决； 协议； 居留地
delegate	[ˈdɛləˌgeɪt]	 n. 代表， 代表团成员 vt. 委派…为代表； 授 ， 把…委托给
literature	[ˈlɪtərəʧər]	 n. 文学， 文学作品； 文献， 图书资料
sphere	[sfɪr]	 n. 球， 球体； 范围
inquiry	[ˌɪnkˈwaɪˌri]	 n. 询问， 打听； 调查
prejudice	[ˈprɛʤədɪs]	 n. 偏见，成见 vt. 使有偏见； 对…不利， 损害
dissolve	[dɪˈzɑlv]	 v. 溶解； 解散； 消失， 减弱； 结束
digest	[ˈdaɪʤɛst]	 vt. 消化； 领会 n. 文摘； 摘要
angle	[ˈæŋgəl]	 n. 角， 角度； 观点， 立场
immigrant	[ˈɪməgrənt]	 n. 移民， 侨民
tradition	[trəˈdɪʃən]	 n. 传统， 惯例
ability	[əˈbɪləˌti]	 n. 能力， 本领； 才能， 才智
urgent	[ˈərʤənt]	 adj. 紧急的， 急迫的
belief	[bɪˈlif]	 n. 信任， 相信； 信念
bundle	[ˈbəndəl]	 n. 捆，包，束；包袱 vt. 收集， 归拢； 把…塞入
suggestion	[səˈʤɛsʧən]	 n. 建议， 意见； 细微的迹象； 暗示
systematic	[ˌsɪstəˈmætɪk]	 adj. 有系统的， 有计划的
cupboard	[ˈkəbərd]	 n. 柜橱； 碗碟橱， 食橱
generally	[ˈʤɛnərəli]	 adv. 一般地， 通常地； 普遍地
bacon	[ˈbeɪkən]	 n. 咸肉
likewise	[ˈlaɪkˌwaɪz]	 adv. 同样地； 也， 又
slender	[sˈlɛndər]	 adj. 细长的， 苗条的； 微薄的， 不足的
troublesome	[ˈtrəbəlsəm]	 adj. 令人烦恼的， 麻烦的
instruction	[ˌɪnˈstrəkʃən]	 n. 命令， 指示； 用法说明； 教学， 教导
oral	[ˈɔrəl]	 adj. 口头的； 口的
married	[ˈmɛrid]	 adj. 已婚的； 婚姻的
transaction	[trænˈzækʃən]	 n. 办理， 处理； 交易， 业务； 会报， 学报
conscious	[ˈkɑnʃəs]	 adj. 意识到的， 自觉的； 神志清醒的； 有意的， 存心的
fur	[fər]	 n. 软毛， 毛皮， 裘皮； 毛皮衣服
auto	[ˈɔtoʊ]	 n. 汽车
sigh	[saɪ]	 vi. 叹气， 叹息 n. 叹息
constant	[ˈkɑnstənt]	 adj. 经常的，不断的，连续发生的；永恒的；忠实的，忠诚的 n. 常数， 恒量
pants	[pænts]	 n. 长裤， 便裤； 内裤
mislead	[mɪsˈlid]	 vt. 给…错误印象， 使误解； 把…带错路； 使误入歧途
split	[splɪt]	 v. 分裂，分离；被撕裂，裂开；分担，分享 n. 裂口
orchestra	[ˈɔrkəstrə]	 n. 管弦乐队
publication	[ˌpəblɪˈkeɪʃən]	 n. 出版， 发行； 公布， 发表
sufficient	[səˈfɪʃənt]	 adj. 足够的， 充分的
claim	[kleɪm]	 vt. 声称，主张；对…提出要求，索取；以…为其成果；需要，值得 n. 要求， 认领， 索赔； 声称； 断言
antique	[ænˈtik]	 adj. 古时的， 过时的 n. 古物，古董
sow	[soʊ]	 v. 播， 播种
widespread	[ˈwaɪdˈsprɛd]	 adj. 分布广的， 普遍的
petroleum	[pəˈtroʊliəm]	 n. 石油
communication	[kəmˌjunəˈkeɪʃən]	 n. 通讯， 交流， 交际； 通信工具， 交通联系
directly	[dɪˈrɛkli]	 adv. 直接地； 正好地， 截然； 立即
tolerance	[ˈtɑlərəns]	 n. 忍受， 容忍， 忍耐力； 公差
kneel	[nil]	 vi. 跪， 跪下， 跪着
porter	[ˈpɔrtər]	 n. 搬运工人； 看门人， 大楼管理员
fasten	[ˈfæsən]	 v. 扎牢， 扣住
contest	[ˈkɑntɛst]	 n. 竞赛， 争夺 vt. 争夺， 与…竞争； 对…提出质疑， 辩驳
author	[ˈɔθər]	 n. 著作家， 作者
dirt	[dərt]	 n. 灰尘， 土； 污物， 污垢
astrophysics	[ˌæstroʊˈfɪzɪks]	 n. 天体物理学
greenhouse	[ˈgrinˌhaʊs]	 n. 温室， 暖房
preserve	[prɪˈzərv]	 vt. 保护， 维持； 保存； 腌制
plus	[pləs]	 adj. 表示加的；正的 prep. 加，加上 n. 加号， 正号
establish	[ɪˈstæblɪʃ]	 vt. 建立， 设立； 确立； 证实
expansion	[ɪkˈspænʧən]	 n. 扩大， 扩充， 扩张， 膨胀
relevant	[ˈrɛləvənt]	 adj. 有关的， 切题的
entry	[ˈɛntri]	 n. 入口处； 登记； 进入； 参赛者名单； 条目
license	[ˈlaɪsəns]	 n. 许可，执照 vt. 准许
synthetic	[sɪnˈθɛtɪk]	 adj. 综合的， 合成的； 虚假的
headquarters	[ˈhɛdˌkɔrtərz]	 n. 司令部， 总部
expand	[ɪkˈspænd]	 vt. 扩大， 使膨胀
gaze	[geɪz]	 n&vi. 凝视， 盯， 注视
essay	[ˈɛˌseɪ]	 n. 短文， 散文， 小品文
survey	[ˈsərˌveɪ]	 vt. 俯瞰； 检查； 测量 n. 调查， 勘察； 测量， 勘测； 全面审视， 概括论述
plug	[pləg]	 n. 插头，插座；塞子，栓 vt. 把…塞住， 用…塞住
bunch	[bənʧ]	 vi. 集中， 挤在一起； 形成一束 n. 群，伙；束，串，捆 vt. 使成一束
thermometer	[θərˈmɑmətər]	 n. 温度计， 寒暑表
tense	[tɛns]	 adj. 拉紧的；紧张的 v. 拉紧， 绷紧 n. 时态
postpone	[poʊstˈpoʊn]	 vt. 延迟， 延期
bride	[braɪd]	 n. 新娘
favourable	[favourable*]	 adj. 有利的， 赞成的； 顺利的
hammer	[ˈhæmər]	 v. 锤击 n. 锤，榔头
candy	[ˈkændi]	 n. 糖果
seal	[sil]	 n. 封铅，封条；印，图章；海豹 vt. 封
mental	[ˈmɛntəl]	 adj. 心理的， 精神的， 思想上的； 精神病的； 智力的
decent	[ˈdisənt]	 adj. 像样的， 过得去的， 体面的； 宽厚的， 大方的； 正派的； 合乎礼仪的， 得体的
storage	[ˈstɔrɪʤ]	 n. 贮藏； 贮藏量
investigate	[ˌɪnˈvɛstəˌgeɪt]	 v. 调查， 研究
racial	[ˈreɪʃəl]	 adj. 种族的， 人种的
switch	[swɪʧ]	 v. 转换， 改变 n. 开关，电闸；转换，改变
niece	[nis]	 n. 侄女， 外甥女
considerable	[kənˈsɪdərəbəl]	 adj. 相当大的； 重要的
auxiliary	[ɑgˈzɪljəri]	 adj. 辅助的， 附属的； 后备的
heal	[hil]	 vi. 愈合， 痊愈， 恢复健康 vt. 使愈合，治愈，使康复；调停，消除
reserve	[rɪˈzərv]	 vt. 保留，留存；预订 n. 储备； 保留； 拘谨， 矜持； 替补队员， 后备部队； 自然保护区
somehow	[ˈsəmˌhaʊ]	 adv. 由于某种原因， 不知怎么的； 以某种方式
dive	[daɪv]	 vi. 跳水； 潜水； 俯冲
brick	[brɪk]	 n. 砖， 砖块， 砖状物
sympathy	[ˈsɪmpəθi]	 n. 同情； 一致， 支持， 赞同
heap	[hip]	 n. 堆， 大量
consumer	[kənˈsumər]	 n. 消费者， 用户， 消耗者
rescue	[ˈrɛskju]	 n&vt. 营救， 救援
cripple	[ˈkrɪpəl]	 n. 跛子；残疾人 vt. 使跛； 使残疾
highly	[ˈhaɪli]	 adv. 高度地， 极， 非常赞许地
brief	[brif]	 adj. 简短的，短暂的 vt. 向…介绍基本情况，做…的提要 n. 概要， 摘要
keyboard	[ˈkiˌbɔrd]	 n. 键盘
initiative	[ˌɪˈnɪʃətɪv]	 n. 主动性； 首创精神； 主动的行动， 倡议； 主动权
recover	[rɪˈkəvər]	 v. 重新获得， 挽回； 恢复
determine	[dɪˈtərmən]	 vi. 决意 vt. 决定；查明；使下决心
nature	[ˈneɪʧər]	 n. 大自然； 本性； 性质
social	[ˈsoʊʃəl]	 adj. 社会的； 交际的， 社交的
medication	[ˌmɛdəˈkeɪʃən]	 n. 药物治疗； 药物
drill	[drɪl]	 v. 钻， 打； 训练 n. 钻头；操练，训练
intelligent	[ˌɪnˈtɛləʤənt]	 adj. 聪明的， 理智的
whilst	[waɪlst]	 conj. 当…的时候
clerk	[klərk]	 n. 店员， 办事员， 职员
lobby	[ˈlɑbi]	 v. 向进行游说 n. 大厅；休息室；院外活动集团
acknowledge	[ækˈnɑlɪʤ]	 vt. 承认， 承认…的权威； 告知收到， 确认； 对…表示感谢， 报偿
equip	[ɪkˈwɪp]	 vt. 装备， 配备； 使有准备
radiation	[ˌreɪdiˈeɪʃən]	 n. 放射物， 辐射能； 辐射
Christian	[ˈkrɪsʧɪn]	 adj. 基督教的 n. 基督教徒，信徒
pulse	[pəls]	 vi. 搏动， 跳动 n. 脉搏；脉冲
luxury	[ˈləgʒəri]	 n. 奢侈； 奢侈品
spiritual	[ˈspɪrɪˌʧuəl]	 adj. 精神的， 心灵的； 宗教的
worthwhile	[ˈwərθˈwaɪl]	 adj. 值得花时间的， 值得做的
mould	[moʊld]	 n. 霉，霉菌；模型，铸模；性格，气质 vt. 用模子做， 浇铸； 使形成， 把…铸造成
increasingly	[ˌɪnˈkrisɪŋgli]	 adv. 日益， 越来越多地
elbow	[ˈɛlˌboʊ]	 n. 肘，肘部 vt. 用肘部， 用肘挤
salad	[ˈsæləd]	 n. 色拉， 凉拌菜
strategic	[strəˈtiʤɪk]	 adj. 对全局有重要意义的， 关键的； 战略的
vary	[ˈvɛri]	 v. 改变； 多样化
readily	[ˈrɛdəli]	 adv. 乐意地， 欣然地； 容易地； 很快地， 立即
stoop	[stup]	 v. 俯身，弯腰；堕落，自贬 n. 弯腰， 曲背
upper	[ˈəpər]	 adj. 上面的， 地位较高的
rocket	[ˈrɑkət]	 vi. 迅速上升， 猛涨 n. 火箭
splendid	[ˈsplɛndɪd]	 adj. 壮丽的； 极好的
county	[ˈkaʊnti]	 n. 郡， 县
respondent	[rɪˈspɑndənt]	 n. 回答者； 响应者； 被告
episode	[ˈɛpɪˌsoʊd]	 n. 一个事件； 插曲， 片段； 连续剧的一集
convenience	[kənˈvinjəns]	 n. 方便； 便利设施
determination	[dɪˌtərməˈneɪʃən]	 n. 决心， 决定； 确定
discipline	[ˈdɪsəplən]	 n. 纪律；训练；惩罚；学科 vt. 训练； 惩罚， 处罚
behalf	[bɪˈhæf]	 n. 利益
evidently	[ˈɛvədəntli]	 adv. 明显地， 显然
objective	[əˈbʤɛktɪv]	 adj. 客观的， 无偏见的 n. 目标，目的
injure	[ˈɪnʤər]	 vt. 伤害， 损害， 使遭受损伤
victimize	[ˈvɪktəmaɪz]	 vt. 使受害， 使牺牲
exert	[ɪgˈzərt]	 vt. 尽； 运用
province	[ˈprɑvɪns]	 n. 省； 领域， 范围
scandal	[ˈskændəl]	 n. 丑事， 丑闻； 流言蜚语； 反感， 愤慨
horrible	[ˈhɔrəbəl]	 adj. 令人恐惧的， 可怕的； 骇人听闻的； 极讨厌的， 使人不愉快的； 糟透的
estimate	[ˈɛstəˌmeɪt]	 vt. 估计； 评价 n. 估计； 评价， 看法
strengthen	[ˈstrɛŋθən]	 vt. 加强， 巩固
drip	[drɪp]	 vi. 滴下，漏水 n. 水滴； 滴水声
injury	[ˈɪnʤəri]	 n. 损害， 伤害； 受伤处
exhibit	[ɪgˈzɪbɪt]	 vt. 显示；陈列，展览 n. 展览品
brand	[brænd]	 n. 品牌；烙印 vt. 铭刻， 打烙印于； 加污名于， 谴责
mushroom	[ˈməʃrum]	 vi. 迅速成长 n. 蘑菇
alcohol	[ˈælkəˌhɑl]	 n. 酒精， 乙醇
choke	[ʧoʊk]	 vt. 使窒息； 塞满， 塞住
proposal	[prəˈpoʊzəl]	 n. 提议， 建议； 求婚
inevitable	[ˌɪˈnɛvətəbəl]	 adj. 不可避免的， 必然的
deny	[dɪˈnaɪ]	 vt. 否定， 否认； 拒绝…的要求
miserable	[ˈmɪzərəbəl]	 adj. 痛苦的； 悲惨的； 令人难受的
recreation	[ˌrɛkriˈeɪʃən]	 n. 娱乐活动， 消遣
subtract	[səbˈtrækt]	 vt. 减， 减去， 去掉
allowance	[əˈlaʊəns]	 n. 津贴， 补贴； 零用钱
portable	[ˈpɔrtəbəl]	 adj. 便于携带的， 手提式的
ancient	[ˈeɪnʧənt]	 adj. 古代的， 古老的； 年老的， 看上去很老的
glory	[ˈglɔri]	 n. 光荣， 荣誉的事； 美丽
